simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
3.360000000000002e-07	3.4800000000000026e-07	3.571428571428586	0.15874010519681994* (1:2)	
3.2400000000000015e-07	3.4200000000000023e-07	5.5555555555555785	0.1606060606060606	
3.330000000000002e-07	3.4500000000000024e-07	3.6036036036036183	0.16456623286043165* (9:19)	
3.2700000000000016e-07	3.4800000000000026e-07	6.422018348623879	0.16464646464646465	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.16528722546144864* (8:17)	
3.2400000000000015e-07	3.540000000000003e-07	9.259259259259297	0.1662119122464687* (7:15)	
3.180000000000001e-07	3.360000000000002e-07	5.66037735849059	0.16744084278445925* (6:13)	
3.2700000000000016e-07	3.4800000000000026e-07	6.422018348623879	0.1686868686868687	
3.2400000000000015e-07	3.300000000000002e-07	1.8518518518518594	0.16915381116229844* (5:11)	
3.2400000000000015e-07	3.570000000000003e-07	10.185185185185226	0.17170713638299978* (4:9)	
3.2700000000000016e-07	3.330000000000002e-07	1.8348623853211083	0.17272727272727273	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.17351936982146643* (7:16)	
3.2400000000000015e-07	3.4500000000000024e-07	6.481481481481508	0.17592106959680257* (3:7)	
3.180000000000001e-07	3.330000000000002e-07	4.7169811320754915	0.17676767676767677	
3.300000000000002e-07	3.390000000000002e-07	2.727272727272738	0.17925618986228659* (5:12)	
3.2400000000000015e-07	3.4800000000000026e-07	7.407407407407438	0.1806760501137917* (7:17)	
3.2100000000000013e-07	3.540000000000003e-07	10.280373831775744	0.1808080808080808	
3.300000000000002e-07	3.4200000000000023e-07	3.636363636363651	0.18420157493201933* (2:5)	
3.2700000000000016e-07	3.4200000000000023e-07	4.587155963302771	0.18484848484848487	
3.2400000000000015e-07	3.330000000000002e-07	2.7777777777777892	0.18888888888888888	
3.120000000000001e-07	3.180000000000001e-07	1.9230769230769311	0.18908143891965618* (5:13)	
3.300000000000002e-07	3.4800000000000026e-07	5.454545454545476	0.19229994270765446* (3:8)	
3.2400000000000015e-07	3.360000000000002e-07	3.703703703703719	0.19292929292929295	
3.180000000000001e-07	3.330000000000002e-07	4.7169811320754915	0.19628561026349226* (4:11)	
3.2400000000000015e-07	3.300000000000002e-07	1.8518518518518594	0.19696969696969696	
3.2400000000000015e-07	3.4800000000000026e-07	7.407407407407438	0.19865767767585374* (5:14)	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.20101010101010103	
3.2100000000000013e-07	3.4200000000000023e-07	6.542056074766382	0.20505050505050504	
3.2400000000000015e-07	3.330000000000002e-07	2.7777777777777892	0.20800838230519042* (1:3)	
3.180000000000001e-07	3.4800000000000026e-07	9.433962264150983	0.2090909090909091	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.21313131313131314	
3.2100000000000013e-07	3.2700000000000016e-07	1.8691588785046807	0.21717171717171718	
3.180000000000001e-07	3.2700000000000016e-07	2.830188679245295	0.2194095738832282* (4:13)	
3.2100000000000013e-07	3.4800000000000026e-07	8.411214953271063	0.22121212121212122	
3.2100000000000013e-07	3.300000000000002e-07	2.8037383177570208	0.22314431669405652* (3:10)	
3.2100000000000013e-07	3.300000000000002e-07	2.8037383177570208	0.22525252525252526	
3.2100000000000013e-07	3.300000000000002e-07	2.8037383177570208	0.2292929292929293	
3.180000000000001e-07	3.5100000000000027e-07	10.377358490566081	0.23052181460292234* (2:7)	
3.150000000000001e-07	3.360000000000002e-07	6.6666666666666945	0.23333333333333334	
3.150000000000001e-07	3.360000000000002e-07	6.6666666666666945	0.23737373737373738	
3.180000000000001e-07	3.390000000000002e-07	6.603773584905688	0.23778308299094353* (3:11)	
3.180000000000001e-07	3.300000000000002e-07	3.7735849056603934	0.24141414141414141	
3.150000000000001e-07	3.300000000000002e-07	4.761904761904781	0.24545454545454545	
3.150000000000001e-07	3.4500000000000024e-07	9.523809523809563	0.2494949494949495	
3.2400000000000015e-07	3.390000000000002e-07	4.629629629629648	0.25198420997897464* (1:4)	
3.2100000000000013e-07	3.2700000000000016e-07	1.8691588785046807	0.2535353535353535	
3.2100000000000013e-07	3.360000000000002e-07	4.672897196261702	0.25757575757575757	
3.2100000000000013e-07	3.300000000000002e-07	2.8037383177570208	0.26161616161616164	
3.2100000000000013e-07	3.300000000000002e-07	2.8037383177570208	0.2656565656565657	
3.2100000000000013e-07	3.2700000000000016e-07	1.8691588785046807	0.26579576997849247* (3:13)	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.2696969696969697	
3.120000000000001e-07	3.180000000000001e-07	1.9230769230769311	0.27256808892482093* (2:9)	
3.150000000000001e-07	3.2700000000000016e-07	3.8095238095238257	0.2737373737373737	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.2777777777777778	
3.150000000000001e-07	3.300000000000002e-07	4.761904761904781	0.28181818181818186	
3.150000000000001e-07	3.300000000000002e-07	4.761904761904781	0.28585858585858587	
3.120000000000001e-07	3.330000000000002e-07	6.730769230769259	0.2898989898989899	
3.150000000000001e-07	3.390000000000002e-07	7.6190476190476515	0.2924017738212866* (1:5)	
3.150000000000001e-07	3.360000000000002e-07	6.6666666666666945	0.29393939393939394	
3.150000000000001e-07	3.300000000000002e-07	4.761904761904781	0.297979797979798	
3.150000000000001e-07	3.4200000000000023e-07	8.571428571428608	0.302020202020202	
3.120000000000001e-07	3.150000000000001e-07	0.9615384615384656	0.30606060606060603	
3.120000000000001e-07	3.180000000000001e-07	1.9230769230769311	0.3101010101010101	
3.120000000000001e-07	3.150000000000001e-07	0.9615384615384656	0.3115839842184876* (2:11)	
3.150000000000001e-07	3.180000000000001e-07	0.9523809523809564	0.31414141414141417	
3.120000000000001e-07	3.330000000000002e-07	6.730769230769259	0.3181818181818182	
3.150000000000001e-07	3.150000000000001e-07	0.0	0.3222222222222222	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.32626262626262625	
3.090000000000001e-07	3.2100000000000013e-07	3.8834951456310844	0.33019272488946266* (1:6)	
3.090000000000001e-07	3.120000000000001e-07	0.9708737864077711	0.3303030303030303	
3.120000000000001e-07	3.2100000000000013e-07	2.884615384615397	0.3343434343434344	
3.120000000000001e-07	3.2100000000000013e-07	2.884615384615397	0.3383838383838384	
3.120000000000001e-07	3.2400000000000015e-07	3.8461538461538622	0.3424242424242424	
3.150000000000001e-07	3.180000000000001e-07	0.9523809523809564	0.3464646464646465	
3.120000000000001e-07	3.360000000000002e-07	7.6923076923077245	0.35050505050505054	
3.150000000000001e-07	3.2400000000000015e-07	2.857142857142869	0.3545454545454545	
3.120000000000001e-07	3.180000000000001e-07	1.9230769230769311	0.35858585858585856	
3.090000000000001e-07	3.2100000000000013e-07	3.8834951456310844	0.36262626262626263	
3.120000000000001e-07	3.180000000000001e-07	1.9230769230769311	0.36593057100229714* (1:7)	
3.150000000000001e-07	3.300000000000002e-07	4.761904761904781	0.3666666666666667	
3.120000000000001e-07	3.300000000000002e-07	5.769230769230794	0.37070707070707076	
3.150000000000001e-07	3.2400000000000015e-07	2.857142857142869	0.3747474747474747	
3.120000000000001e-07	3.2100000000000013e-07	2.884615384615397	0.3787878787878788	
3.090000000000001e-07	3.120000000000001e-07	0.9708737864077711	0.38282828282828285	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.3868686868686869	
3.090000000000001e-07	3.0600000000000007e-07	0.9708737864077711	0.3909090909090909	
3.120000000000001e-07	3.2400000000000015e-07	3.8461538461538622	0.39494949494949494	
3.090000000000001e-07	3.150000000000001e-07	1.9417475728155422	0.398989898989899	
3.090000000000001e-07	3.120000000000001e-07	0.9708737864077711	0.39999999999999997* (1:8)	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.40303030303030307	
3.120000000000001e-07	3.090000000000001e-07	0.9615384615384656	0.407070707070707	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.4111111111111111	
3.090000000000001e-07	3.2100000000000013e-07	3.8834951456310844	0.41515151515151516	
3.090000000000001e-07	3.2700000000000016e-07	5.825242718446627	0.4191919191919192	
3.120000000000001e-07	3.2700000000000016e-07	4.807692307692328	0.4232323232323232	
3.090000000000001e-07	3.2400000000000015e-07	4.854368932038856	0.42727272727272725	
3.0600000000000007e-07	3.180000000000001e-07	3.9215686274509975	0.4313131313131313	
3.090000000000001e-07	3.180000000000001e-07	2.9126213592233134	0.43267487109222247* (1:9)	
