simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
3.432e-05	0.0	100.0	0.1	
3.047999999999987e-05	3.2039999999999856e-05	5.118110236220446	0.10404040404040404	
2.7840000000000008e-05	0.0			100.0			0.10656022367666107* (10:11)	
3.275999999999985e-05	3.467999999999983e-05	5.860805860805832	0.10727659828951441* (9:10)	
3.071999999999987e-05	3.287999999999985e-05	7.031249999999963	0.10808080808080808	
3.335999999999984e-05	3.599999999999982e-05	7.913669064748163	0.10816871777305564* (8:9)	
3.287999999999985e-05	3.395999999999984e-05	3.2846715328466987	0.10931035330127936* (7:8)	
2.9759999999999878e-05	2.9039999999999885e-05	2.419354838709664	0.11082332935251626* (6:7)	
3.2279999999999854e-05	3.179999999999986e-05	1.4869888475836357	0.11212121212121212	
2.843999999999989e-05	2.8799999999999887e-05	1.2658227848101193	0.11292432346572341* (5:6)	
3.2039999999999856e-05	2.963999999999988e-05	7.490636704119812	0.11431418309001973* (9:11)	
2.423999999999993e-05	2.7239999999999902e-05	12.376237623762293	0.1160397208403195* (4:5)	
3.4199999999999835e-05	3.263999999999985e-05	4.561403508771908	0.11616161616161616	
2.951999999999988e-05	3.2039999999999856e-05	8.536585365853613	0.1182396075591909* (7:9)	
2.9999999999999875e-05	2.831999999999989e-05	5.5999999999999694	0.11911384251964328* (10:13)	
2.435999999999993e-05	2.963999999999988e-05	21.674876847290495	0.1202020202020202	
2.3759999999999935e-05	2.531999999999992e-05	6.5656565656565204	0.12114137285547598* (3:4)	
2.6039999999999913e-05	2.843999999999989e-05	9.216589861751094	0.12365218608121753* (8:11)	
2.651999999999991e-05	2.8919999999999886e-05	9.049773755656053	0.12424242424242425	
2.639999999999991e-05	2.651999999999991e-05	0.45454545454545175	0.12514649491351945* (5:7)	
2.4839999999999925e-05	2.7119999999999903e-05	9.178743961352597	0.12684342882037156* (7:10)	
2.6159999999999912e-05	2.73599999999999e-05	4.587155963302724	0.12778127834700254* (9:13)	
2.5799999999999916e-05	2.6039999999999913e-05	0.930232558139529	0.12828282828282828	
2.543999999999992e-05	2.5559999999999918e-05	0.4716981132075441	0.13103706971044482* (2:3)	
2.651999999999991e-05	2.9279999999999882e-05	10.407239819004461	0.13232323232323234	
2.5919999999999914e-05	2.531999999999992e-05	2.3148148148148007	0.13425290262178388* (9:14)	
2.74799999999999e-05	3.155999999999986e-05	14.847161572052315	0.13516464147013427* (7:11)	
2.4599999999999927e-05	2.7959999999999895e-05	13.658536585365763	0.13636363636363635	
2.3879999999999934e-05	3.1199999999999864e-05	30.65326633165808	0.13679807573413577* (5:8)	
2.4479999999999928e-05	2.8679999999999888e-05	17.156862745097925	0.13821937034197182* (8:13)	
2.6879999999999905e-05	2.9999999999999875e-05	11.607142857142787	0.14040404040404042	
2.315999999999994e-05	2.531999999999992e-05	9.326424870466257	0.14057211088362487* (3:5)	
2.4119999999999932e-05	2.75999999999999e-05	14.427860696517318	0.14244021294130646* (10:17)	
2.1839999999999954e-05	2.4479999999999928e-05	12.087912087911997	0.143237083856131* (7:12)	
2.207999999999995e-05	2.3639999999999936e-05	7.065217391304296	0.14444444444444446	
2.3039999999999942e-05	2.7119999999999903e-05	17.708333333333208	0.14521964333909262* (4:7)	
2.339999999999994e-05	2.6159999999999912e-05	11.794871794871712	0.1467523221730945* (9:16)	
2.099999999999996e-05	2.4839999999999925e-05	18.285714285714143	0.1479727244598282* (5:9)	
2.0879999999999963e-05	2.7239999999999902e-05	30.45977011494229	0.1484848484848485	
2.1479999999999957e-05	2.4599999999999927e-05	14.52513966480436	0.1497939557845947* (6:11)	
2.003999999999997e-05	2.315999999999994e-05	15.568862275448975	0.15108808205161317* (7:13)	
1.919999999999998e-05	2.5919999999999914e-05	34.9999999999997	0.15205504988933502* (8:15)	
2.3039999999999942e-05	2.4479999999999928e-05	6.249999999999956	0.15252525252525254	
1.9319999999999978e-05	2.231999999999995e-05	15.527950310558875	0.15280501503977428* (9:17)	
1.9679999999999974e-05	2.3759999999999935e-05	20.731707317073		0.15340366443789158* (10:19)	
2.2679999999999945e-05	2.831999999999989e-05	24.86772486772469	0.15656565656565657	
1.9439999999999977e-05	2.4599999999999927e-05	26.54320987654299	0.15874010519681994* (1:2)	
2.027999999999997e-05	2.7119999999999903e-05	33.7278106508873	0.1606060606060606	
1.9319999999999978e-05	2.3519999999999937e-05	21.739130434782425	0.16456623286043165* (9:19)	
1.8359999999999987e-05	2.1479999999999957e-05	16.993464052287433	0.16464646464646465	
1.7279999999999997e-05	2.1839999999999954e-05	26.38888888888864	0.16528722546144864* (8:17)	
1.919999999999998e-05	2.2439999999999948e-05	16.874999999999858	0.1662119122464687* (7:15)	
1.799999999999999e-05	2.111999999999996e-05	17.333333333333176	0.16744084278445925* (6:13)	
1.7399999999999996e-05	2.2919999999999943e-05	31.724137931034186	0.1686868686868687	
1.8359999999999987e-05	2.2559999999999947e-05	22.87581699346385	0.16915381116229844* (5:11)	
1.716e-05		2.5679999999999917e-05	49.65034965034918	0.17170713638299978* (4:9)	
1.7639999999999994e-05	2.123999999999996e-05	20.408163265305934	0.17272727272727273	
1.919999999999998e-05	2.4119999999999932e-05	25.62499999999978	0.17351936982146643* (7:16)	
1.811999999999999e-05	2.1839999999999954e-05	20.529801324503126	0.17592106959680257* (3:7)	
1.7279999999999997e-05	2.1959999999999952e-05	27.083333333333076	0.17676767676767677	
1.6440000000000005e-05	2.2559999999999947e-05	37.22627737226241	0.17925618986228659* (5:12)	
1.7279999999999997e-05	2.3999999999999933e-05	38.88888888888852	0.1806760501137917* (7:17)	
1.7759999999999993e-05	2.639999999999991e-05	48.648648648648205	0.1808080808080808	
1.7399999999999996e-05	2.1839999999999954e-05	25.517241379310107	0.18420157493201933* (2:5)	
1.704e-05		2.219999999999995e-05	30.28169014084478	0.18484848484848487	
1.7399999999999996e-05	2.2559999999999947e-05	29.655172413792823	0.18888888888888888	
1.6440000000000005e-05	2.027999999999997e-05	23.35766423357641	0.18908143891965618* (5:13)	
1.704e-05		2.3039999999999942e-05	35.211267605633466	0.19229994270765446* (3:8)	
1.596000000000001e-05	2.435999999999993e-05	52.631578947367885	0.19292929292929295	
1.596000000000001e-05	2.2919999999999943e-05	43.60902255639053	0.19628561026349226* (4:11)	
1.6320000000000006e-05	2.0759999999999964e-05	27.205882352940908	0.19696969696969696	
1.5600000000000013e-05	2.3039999999999942e-05	47.692307692307196	0.19865767767585374* (5:14)	
1.6440000000000005e-05	2.4599999999999927e-05	49.63503649634987	0.20101010101010103	
1.4880000000000013e-05	2.627999999999991e-05	76.6129032258057	0.20505050505050504	
