simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
3.180000000000001e-06	3.2700000000000013e-06	2.8301886792452953	0.1	
3.420000000000002e-06	3.5700000000000027e-06	4.385964912280719	0.10404040404040404	
3.660000000000003e-06	3.600000000000003e-06	1.639344262295088	0.10656022367666107* (10:11)	
3.5400000000000025e-06	3.5700000000000027e-06	0.8474576271186474	0.10727659828951441* (9:10)	
3.7500000000000035e-06	3.660000000000003e-06	2.400000000000009	0.10808080808080808	
3.7200000000000033e-06	3.5400000000000025e-06	4.838709677419373	0.10816871777305564* (8:9)	
3.690000000000003e-06	3.7200000000000033e-06	0.8130081300813039	0.10931035330127936* (7:8)	
3.7500000000000035e-06	3.5400000000000025e-06	5.60000000000002	0.11082332935251626* (6:7)	
3.4800000000000023e-06	3.630000000000003e-06	4.310344827586224	0.11212121212121212	
3.4800000000000023e-06	3.7200000000000033e-06	6.896551724137957	0.11292432346572341* (5:6)	
3.8100000000000038e-06	3.5700000000000027e-06	6.299212598425219	0.11431418309001973* (9:11)	
3.690000000000003e-06	3.600000000000003e-06	2.4390243902439117	0.1160397208403195* (4:5)	
3.5400000000000025e-06	3.7800000000000036e-06	6.779661016949179	0.11616161616161616	
3.5100000000000024e-06	3.390000000000002e-06	3.4188034188034324	0.1182396075591909* (7:9)	
3.5100000000000024e-06	3.420000000000002e-06	2.564102564102574	0.11911384251964328* (10:13)	
3.420000000000002e-06	3.3300000000000016e-06	2.6315789473684315	0.1202020202020202	
3.450000000000002e-06	3.5100000000000024e-06	1.7391304347826158	0.12114137285547598* (3:4)	
3.5400000000000025e-06	3.420000000000002e-06	3.3898305084745894	0.12365218608121753* (8:11)	
3.2700000000000013e-06	3.450000000000002e-06	5.504587155963325	0.12424242424242425	
3.3300000000000016e-06	3.450000000000002e-06	3.6036036036036183	0.12514649491351945* (5:7)	
3.3300000000000016e-06	3.390000000000002e-06	1.8018018018018092	0.12684342882037156* (7:10)	
3.3600000000000017e-06	3.5100000000000024e-06	4.464285714285732	0.12778127834700254* (9:13)	
3.3000000000000014e-06	3.390000000000002e-06	2.7272727272727386	0.12828282828282828	
3.450000000000002e-06	3.420000000000002e-06	0.8695652173913079	0.13103706971044482* (2:3)	
3.2700000000000013e-06	3.5100000000000024e-06	7.339449541284434	0.13232323232323234	
3.3000000000000014e-06	3.450000000000002e-06	4.5454545454545645	0.13425290262178388* (9:14)	
3.390000000000002e-06	3.5400000000000025e-06	4.424778761061965	0.13516464147013427* (7:11)	
3.3000000000000014e-06	3.390000000000002e-06	2.7272727272727386	0.13636363636363635	
3.3300000000000016e-06	3.450000000000002e-06	3.6036036036036183	0.13679807573413577* (5:8)	
3.240000000000001e-06	3.4800000000000023e-06	7.4074074074074385	0.13821937034197182* (8:13)	
3.3000000000000014e-06	3.5400000000000025e-06	7.272727272727303	0.14040404040404042	
3.3000000000000014e-06	3.420000000000002e-06	3.6363636363636513	0.14057211088362487* (3:5)	
3.3600000000000017e-06	3.5100000000000024e-06	4.464285714285732	0.14244021294130646* (10:17)	
3.2700000000000013e-06	3.5400000000000025e-06	8.256880733944987	0.143237083856131* (7:12)	
3.3300000000000016e-06	3.450000000000002e-06	3.6036036036036183	0.14444444444444446	
3.240000000000001e-06	3.420000000000002e-06	5.5555555555555785	0.14521964333909262* (4:7)	
3.3300000000000016e-06	3.390000000000002e-06	1.8018018018018092	0.1467523221730945* (9:16)	
3.3600000000000017e-06	3.4800000000000023e-06	3.571428571428586	0.1479727244598282* (5:9)	
3.240000000000001e-06	3.390000000000002e-06	4.629629629629648	0.1484848484848485	
3.2700000000000013e-06	3.450000000000002e-06	5.504587155963325	0.1497939557845947* (6:11)	
3.3300000000000016e-06	3.5100000000000024e-06	5.4054054054054275	0.15108808205161317* (7:13)	
3.2700000000000013e-06	3.5400000000000025e-06	8.256880733944987	0.15205504988933502* (8:15)	
3.3000000000000014e-06	3.5100000000000024e-06	6.363636363636389	0.15252525252525254	
3.3000000000000014e-06	3.420000000000002e-06	3.6363636363636513	0.15280501503977428* (9:17)	
3.3600000000000017e-06	3.5100000000000024e-06	4.464285714285732	0.15340366443789158* (10:19)	
3.3300000000000016e-06	3.600000000000003e-06	8.10810810810814	0.15656565656565657	
3.3300000000000016e-06	3.450000000000002e-06	3.6036036036036183	0.15874010519681994* (1:2)	
3.3000000000000014e-06	3.3300000000000016e-06	0.9090909090909128	0.1606060606060606	
3.3000000000000014e-06	3.630000000000003e-06	10.00000000000004	0.16456623286043165* (9:19)	
3.180000000000001e-06	3.5100000000000024e-06	10.377358490566083	0.16464646464646465	
3.3000000000000014e-06	3.5700000000000027e-06	8.181818181818215	0.16528722546144864* (8:17)	
3.2700000000000013e-06	3.390000000000002e-06	3.669724770642217	0.1662119122464687* (7:15)	
3.3300000000000016e-06	3.390000000000002e-06	1.8018018018018092	0.16744084278445925* (6:13)	
3.3300000000000016e-06	3.450000000000002e-06	3.6036036036036183	0.1686868686868687	
3.2700000000000013e-06	3.5100000000000024e-06	7.339449541284434	0.16915381116229844* (5:11)	
3.3000000000000014e-06	3.5700000000000027e-06	8.181818181818215	0.17170713638299978* (4:9)	
3.3000000000000014e-06	3.600000000000003e-06	9.090909090909129	0.17272727272727273	
3.240000000000001e-06	3.420000000000002e-06	5.5555555555555785	0.17351936982146643* (7:16)	
3.2700000000000013e-06	3.5400000000000025e-06	8.256880733944987	0.17592106959680257* (3:7)	
3.3300000000000016e-06	3.4800000000000023e-06	4.504504504504523	0.17676767676767677	
3.210000000000001e-06	3.600000000000003e-06	12.149532710280425	0.17925618986228659* (5:12)	
3.3300000000000016e-06	3.660000000000003e-06	9.90990990990995	0.1806760501137917* (7:17)	
3.3000000000000014e-06	3.660000000000003e-06	10.909090909090954	0.1808080808080808	
3.3000000000000014e-06	3.5400000000000025e-06	7.272727272727303	0.18420157493201933* (2:5)	
3.3300000000000016e-06	3.660000000000003e-06	9.90990990990995	0.18484848484848487	
3.2700000000000013e-06	3.5400000000000025e-06	8.256880733944987	0.18888888888888888	
3.420000000000002e-06	3.5700000000000027e-06	4.385964912280719	0.18908143891965618* (5:13)	
3.3300000000000016e-06	3.660000000000003e-06	9.90990990990995	0.19229994270765446* (3:8)	
3.240000000000001e-06	3.600000000000003e-06	11.111111111111157	0.19292929292929295	
3.390000000000002e-06	3.7200000000000033e-06	9.734513274336322	0.19628561026349226* (4:11)	
3.3000000000000014e-06	3.4800000000000023e-06	5.454545454545477	0.19696969696969696	
3.3000000000000014e-06	3.8100000000000038e-06	15.454545454545517	0.19865767767585374* (5:14)	
3.2700000000000013e-06	3.660000000000003e-06	11.926605504587204	0.20101010101010103	
3.3300000000000016e-06	3.5700000000000027e-06	7.207207207207237	0.20505050505050504	
3.3300000000000016e-06	3.840000000000004e-06	15.315315315315377	0.20800838230519042* (1:3)	
3.3000000000000014e-06	3.7200000000000033e-06	12.727272727272778	0.2090909090909091	
3.2700000000000013e-06	3.660000000000003e-06	11.926605504587204	0.21313131313131314	
3.3300000000000016e-06	3.690000000000003e-06	10.810810810810855	0.21717171717171718	
3.3000000000000014e-06	3.690000000000003e-06	11.818181818181866	0.2194095738832282* (4:13)	
3.3300000000000016e-06	3.870000000000004e-06	16.21621621621627	0.22121212121212122	
3.3000000000000014e-06	3.7500000000000035e-06	13.636363636363694	0.22314431669405652* (3:10)	
3.2700000000000013e-06	3.600000000000003e-06	10.091743119266097	0.22525252525252526	
3.450000000000002e-06	3.8100000000000038e-06	10.434782608695693	0.2292929292929293	
3.3000000000000014e-06	3.840000000000004e-06	16.36363636363643	0.23052181460292234* (2:7)	
3.3000000000000014e-06	3.660000000000003e-06	10.909090909090954	0.23333333333333334	
3.2700000000000013e-06	3.840000000000004e-06	17.431192660550533	0.23737373737373738	
3.240000000000001e-06	3.7800000000000036e-06	16.666666666666735	0.23778308299094353* (3:11)	
3.420000000000002e-06	3.5400000000000025e-06	3.508771929824575	0.24141414141414141	
3.3300000000000016e-06	3.900000000000003e-06	17.11711711711716	0.24545454545454545	
3.2700000000000013e-06	3.840000000000004e-06	17.431192660550533	0.2494949494949495	
