simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
0.001	0.001	0.0	0.1	
0.001	0.001	0.0	0.10404040404040404	
0.001	0.001	0.0	0.10656022367666107* (10:11)	
0.001	0.001	0.0	0.10727659828951441* (9:10)	
0.001	0.001	0.0	0.10808080808080808	
0.001	0.001	0.0	0.10816871777305564* (8:9)	
0.001	0.001	0.0	0.10931035330127936* (7:8)	
0.001	0.001	0.0	0.11082332935251626* (6:7)	
0.001	0.001	0.0	0.11212121212121212	
0.001	0.001	0.0	0.11292432346572341* (5:6)	
0.002	0.0	100.0	0.11431418309001973* (9:11)	
0.002	0.0	100.0	0.1160397208403195* (4:5)	
0.002	0.0	100.0	0.11616161616161616	
0.002	0.0	100.0	0.1182396075591909* (7:9)	
0.002	0.0	100.0	0.11911384251964328* (10:13)	
0.001	0.001	0.0	0.1202020202020202	
0.001	0.001	0.0	0.12114137285547598* (3:4)	
0.001	0.001	0.0	0.12365218608121753* (8:11)	
0.001	0.001	0.0	0.12424242424242425	
0.001	0.001	0.0	0.12514649491351945* (5:7)	
0.001	0.001	0.0	0.12684342882037156* (7:10)	
0.001	0.001	0.0	0.12778127834700254* (9:13)	
0.001	0.001	0.0	0.12828282828282828	
0.001	0.001	0.0	0.13103706971044482* (2:3)	
0.001	0.001	0.0	0.13232323232323234	
0.001	0.001	0.0	0.13425290262178388* (9:14)	
0.001	0.001	0.0	0.13516464147013427* (7:11)	
0.001	0.001	0.0	0.13636363636363635	
0.001	0.001	0.0	0.13679807573413577* (5:8)	
0.001	0.001	0.0	0.13821937034197182* (8:13)	
0.001	0.001	0.0	0.14040404040404042	
0.001	0.001	0.0	0.14057211088362487* (3:5)	
0.001	0.001	0.0	0.14244021294130646* (10:17)	
0.001	0.001	0.0	0.143237083856131* (7:12)	
0.001	0.001	0.0	0.14444444444444446	
0.001	0.001	0.0	0.14521964333909262* (4:7)	
0.001	0.001	0.0	0.1467523221730945* (9:16)	
0.001	0.001	0.0	0.1479727244598282* (5:9)	
0.001	0.001	0.0	0.1484848484848485	
0.001	0.001	0.0	0.1497939557845947* (6:11)	
0.001	0.001	0.0	0.15108808205161317* (7:13)	
0.001	0.001	0.0	0.15205504988933502* (8:15)	
0.001	0.001	0.0	0.15252525252525254	
0.001	0.001	0.0	0.15280501503977428* (9:17)	
0.001	0.001	0.0	0.15340366443789158* (10:19)	
0.001	0.001	0.0	0.15656565656565657	
0.001	0.001	0.0	0.15874010519681994* (1:2)	
0.001	0.001	0.0	0.1606060606060606	
0.001	0.001	0.0	0.16456623286043165* (9:19)	
0.001	0.001	0.0	0.16464646464646465	
0.001	0.001	0.0	0.16528722546144864* (8:17)	
0.001	0.001	0.0	0.1662119122464687* (7:15)	
0.001	0.001	0.0	0.16744084278445925* (6:13)	
0.001	0.001	0.0	0.1686868686868687	
0.001	0.001	0.0	0.16915381116229844* (5:11)	
0.001	0.001	0.0	0.17170713638299978* (4:9)	
